iter	Passed	Remaining
472	676	753
473	677	752
474	679	750
475	680	749
476	681	747
477	682	745
478	683	743
479	684	741
480	685	739
481	686	737
482	686	735
483	687	733
484	688	731
485	689	729
486	690	727
487	692	726
488	694	725
489	695	723
490	696	721
491	697	720
492	698	718
493	699	716
494	700	714
495	700	712
496	701	710
497	702	708
498	703	706
499	704	704
500	705	702
501	706	700
502	707	699
503	709	698
504	710	696
505	711	694
506	712	692
507	713	690
508	714	688
509	714	686
510	715	684
511	716	682
512	717	680
513	718	679
514	719	677
515	720	675
516	722	674
517	723	673
518	724	671
519	725	669
520	726	667
521	727	666
522	728	664
523	729	662
524	730	661
525	731	659
526	732	657
527	733	655
528	734	654
529	736	653
530	737	651
531	738	650
532	739	648
533	741	647
534	742	645
535	743	643
536	744	641
537	744	639
538	745	637
539	746	635
540	747	634
541	748	632
542	750	631
543	751	630
544	752	628
545	753	626
546	754	624
547	755	623
548	756	621
549	757	619
550	758	617
551	759	616
552	759	614
553	760	612
554	761	610
555	762	609
556	764	607
557	765	606
558	767	605
559	768	603
560	769	601
561	770	600
562	770	598
563	771	596
564	772	594
565	773	593
566	774	591
567	774	589
568	775	587
569	776	585
570	777	584
571	779	583
572	780	581
573	781	580
574	783	578
575	784	577
576	784	575
577	785	573
578	786	571
579	787	570
580	788	568
581	789	566
582	790	565
583	791	563
584	792	562
585	793	560
586	795	559
587	796	557
588	797	556
589	798	554
590	799	552
591	799	551
592	800	549
593	801	548
594	802	546
595	803	544
596	804	543
597	805	541
598	807	540
599	809	539
600	810	538
601	811	536
602	812	534
603	813	533
604	814	531
605	815	530
606	816	528
607	817	526
608	818	525
609	818	523
610	819	521
611	821	520
612	822	519
613	824	518
614	825	516
615	826	515
616	827	513
617	828	511
618	829	510
619	830	508
620	830	507
621	831	505
622	832	503
623	833	502
624	834	500
625	836	499
626	837	498
627	839	497
628	840	495
629	841	494
630	842	492
631	843	491
632	844	489
633	845	488
634	846	486
635	847	485
636	848	483
637	850	482
638	851	481
639	853	480
640	854	478
641	855	477
642	856	475
643	857	474
644	858	472
645	859	471
646	860	469
647	861	467
648	862	466
649	862	464
650	864	463
651	865	461
652	867	460
653	868	459
654	870	458
655	871	456
656	871	455
657	872	453
658	873	452
659	874	450
660	876	449
661	877	447
662	878	446
663	879	445
664	881	443
665	882	442
666	883	441
667	884	439
668	885	438
669	886	436
670	887	435
671	888	433
672	889	432
673	890	430
674	891	429
675	892	427
676	894	426
677	895	425
678	896	423
679	897	422
680	898	421
681	899	419
682	900	418
683	901	416
684	902	414
685	903	413
686	904	412
687	905	410
688	906	409
689	908	408
690	909	406
691	911	405
692	912	404
693	913	402
694	914	401
695	915	399
696	916	398
697	917	396
698	918	395
699	919	393
700	920	392
701	921	391
702	923	390
703	924	388
704	925	387
705	926	385
706	927	384
707	928	383
708	929	381
709	930	380
710	931	378
711	932	377
712	933	375
713	934	374
714	935	373
715	938	372
716	939	371
717	941	369
718	942	368
719	943	366
720	944	365
721	945	364
722	946	362
723	948	361
724	949	360
725	950	358
726	951	357
727	952	356
728	953	354
729	954	353
730	955	351
731	956	350
732	957	348
733	958	347
734	960	346
735	961	344
736	962	343
737	963	342
738	965	340
739	967	339
740	969	338
741	971	337
742	972	336
743	973	334
744	975	333
745	976	332
746	977	331
747	979	329
748	981	328
749	983	327
750	984	326
751	985	325
752	987	323
753	988	322
754	989	321
755	990	319
756	991	318
757	992	316
758	994	315
759	995	314
760	996	313
761	998	311
762	999	310
763	1000	309
764	1001	307
765	1002	306
766	1003	304
767	1004	303
768	1006	302
769	1007	300
770	1009	299
771	1010	298
772	1012	297
773	1013	295
774	1014	294
775	1015	293
776	1016	291
777	1017	290
778	1018	288
779	1019	287
780	1020	286
781	1022	284
782	1024	283
783	1025	282
784	1026	281
785	1028	279
786	1029	278
787	1030	277
788	1031	275
789	1032	274
790	1033	273
791	1034	271
792	1035	270
793	1036	268
794	1037	267
795	1039	266
796	1040	265
797	1041	263
798	1042	262
799	1043	260
800	1044	259
801	1046	258
802	1047	256
803	1048	255
804	1050	254
805	1051	253
806	1052	251
807	1054	250
808	1056	249
809	1057	247
810	1058	246
811	1059	245
812	1060	243
813	1061	242
814	1062	241
815	1063	239
816	1065	238
817	1066	237
818	1068	236
819	1069	234
820	1070	233
821	1070	231
822	1071	230
823	1072	229
824	1073	227
825	1074	226
826	1075	225
827	1076	223
828	1078	222
829	1079	221
830	1080	219
831	1082	218
832	1083	217
833	1084	215
834	1085	214
835	1086	213
836	1087	211
837	1088	210
838	1089	209
839	1090	207
840	1091	206
841	1092	204
842	1093	203
843	1095	202
844	1096	201
845	1097	199
846	1098	198
847	1099	197
848	1100	195
849	1101	194
850	1102	193
851	1103	191
852	1104	190
853	1105	188
854	1106	187
855	1108	186
856	1110	185
857	1111	183
858	1112	182
859	1113	181
860	1114	179
861	1115	178
862	1116	177
863	1117	175
864	1118	174
865	1119	173
866	1120	171
867	1121	170
868	1123	169
869	1124	168
870	1125	166
871	1126	165
872	1127	164
873	1128	162
874	1129	161
875	1130	160
876	1132	158
877	1133	157
878	1133	156
879	1134	154
880	1135	153
881	1137	152
882	1138	150
883	1139	149
884	1140	148
885	1141	146
886	1142	145
887	1144	144
888	1145	142
889	1145	141
890	1146	140
891	1147	138
892	1148	137
893	1149	136
894	1150	135
895	1152	133
896	1153	132
897	1154	131
898	1155	129
899	1156	128
900	1157	127
901	1158	125
902	1159	124
903	1160	123
904	1161	121
905	1162	120
906	1162	119
907	1164	117
908	1165	116
909	1166	115
910	1168	114
911	1169	112
912	1170	111
913	1171	110
914	1172	108
915	1173	107
916	1174	106
917	1174	104
918	1175	103
919	1176	102
920	1177	101
921	1178	99
922	1179	98
923	1181	97
924	1182	95
925	1184	94
926	1185	93
927	1185	92
928	1186	90
929	1187	89
930	1188	88
931	1189	86
932	1190	85
933	1191	84
934	1192	82
935	1193	81
936	1194	80
937	1195	79
938	1196	77
939	1198	76
940	1199	75
941	1201	73
942	1202	72
943	1203	71
944	1204	70
945	1204	68
946	1205	67
947	1206	66
948	1208	64
949	1210	63
950	1211	62
951	1212	61
952	1213	59
953	1214	58
954	1215	57
955	1216	55
956	1217	54
957	1218	53
958	1219	52
959	1219	50
960	1220	49
961	1221	48
962	1223	47
963	1224	45
964	1226	44
965	1227	43
966	1227	41
967	1228	40
968	1229	39
969	1230	38
970	1231	36
971	1232	35
972	1233	34
973	1233	32
974	1234	31
975	1235	30
976	1236	29
977	1238	27
978	1239	26
979	1240	25
980	1241	24
981	1241	22
982	1243	21
983	1244	20
984	1245	18
985	1246	17
986	1247	16
987	1248	15
988	1249	13
989	1250	12
990	1251	11
991	1252	10
992	1254	8
993	1255	7
994	1256	6
995	1257	5
996	1257	3
997	1258	2
998	1259	1
999	1260	0
